seed,delta,omega,rule,crossings,max_event_time_error,rms_error
101,2.0,1.9,hysteresis,703,4.547473508864641e-13,0.0
101,2.0,1.925,raw,744,9.094947017729282e-13,3.3306690738754696e-16
101,2.0,1.925,hysteresis,687,9.094947017729282e-13,3.3306690738754696e-16
101,2.0,1.95,raw,736,4.547473508864641e-13,1.1102230246251565e-16
101,2.0,1.95,hysteresis,687,4.547473508864641e-13,1.1102230246251565e-16
101,2.0,1.975,raw,738,9.094947017729282e-13,4.440892098500626e-16
101,2.0,1.975,hysteresis,673,9.094947017729282e-13,4.440892098500626e-16
101,2.0,2.0,raw,730,9.094947017729282e-13,0.0
101,2.0,2.0,hysteresis,673,9.094947017729282e-13,0.0
101,2.0,2.025,raw,732,4.547473508864641e-13,2.220446049250313e-16
101,2.0,2.025,hysteresis,667,4.547473508864641e-13,2.220446049250313e-16
101,2.0,2.05,raw,723,4.547473508864641e-13,1.1102230246251565e-16
101,2.0,2.05,hysteresis,650,4.547473508864641e-13,1.1102230246251565e-16
101,2.0,2.075,raw,720,9.094947017729282e-13,7.771561172376096e-16
101,2.0,2.075,hysteresis,665,9.094947017729282e-13,7.771561172376096e-16
101,2.0,2.1,raw,731,4.547473508864641e-13,3.3306690738754696e-16
101,2.0,2.1,hysteresis,663,4.547473508864641e-13,3.3306690738754696e-16
101,2.0,2.125,raw,721,4.547473508864641e-13,2.220446049250313e-16
101,2.0,2.125,hysteresis,657,4.547473508864641e-13,2.220446049250313e-16
101,2.0,2.15,raw,715,4.547473508864641e-13,1.1102230246251565e-16
101,2.0,2.15,hysteresis,637,4.547473508864641e-13,1.1102230246251565e-16
101,2.0,2.175,raw,714,4.547473508864641e-13,1.1102230246251565e-16
101,2.0,2.175,hysteresis,640,4.547473508864641e-13,1.1102230246251565e-16
101,2.0,2.2,raw,714,9.094947017729282e-13,1.1102230246251565e-16
101,2.0,2.2,hysteresis,631,9.094947017729282e-13,1.1102230246251565e-16
101,2.0,2.225,raw,715,9.094947017729282e-13,0.0
101,2.0,2.225,hysteresis,636,9.094947017729282e-13,0.0
101,2.0,2.25,raw,694,4.547473508864641e-13,3.3306690738754696e-16
101,2.0,2.25,hysteresis,624,4.547473508864641e-13,3.3306690738754696e-16
101,2.0,2.275,raw,695,4.547473508864641e-13,1.1102230246251565e-16
101,2.0,2.275,hysteresis,620,4.547473508864641e-13,1.1102230246251565e-16
101,2.0,2.3,raw,704,9.094947017729282e-13,3.3306690738754696e-16
101,2.0,2.3,hysteresis,619,4.547473508864641e-13,3.3306690738754696e-16
101,2.0,2.325,raw,686,9.094947017729282e-13,7.771561172376096e-16
101,2.0,2.325,hysteresis,612,4.547473508864641e-13,7.771561172376096e-16
101,2.0,2.3333333333333335,raw,687,4.547473508864641e-13,2.220446049250313e-16
101,2.0,2.3333333333333335,hysteresis,611,4.547473508864641e-13,2.220446049250313e-16
101,2.0,2.35,raw,668,4.547473508864641e-13,1.1102230246251565e-16
101,2.0,2.35,hysteresis,610,4.547473508864641e-13,1.1102230246251565e-16
101,2.0,2.375,raw,682,9.094947017729282e-13,2.220446049250313e-16
101,2.0,2.375,hysteresis,604,9.094947017729282e-13,2.220446049250313e-16
