r,delta,seed,dt,rule,cycles,mean_N,median_N,integer_fraction,band1,band2,band3,event_R1,event_R2,interval_R,next2_given2,event_Omega
0.5,4.0,301,0.00125,hysteresis,660,1.6876902579332154,2.0154883450052243,0.3984848484848485,0.2287878787878788,0.16363636363636364,0.006060606060606061,0.7486681057076164,0.3932392399117134,0.508796615773671,0.23148148148148148,1.3825601720251601
0.0,0.0,301,0.0025,raw,481,2.3147552420280255,2.300963742347923,0.10810810810810811,0.004158004158004158,0.08523908523908524,0.016632016632016633,0.029604279831748875,0.017214486110889722,0.46811483732527737,0.175,1.008025941995073
0.0,0.0,301,0.0025,hysteresis,454,2.4524168973909255,2.31951973222888,0.11013215859030837,0.0,0.07268722466960352,0.019823788546255508,0.05130451876416276,0.014542616519349039,0.4837168347611287,0.1875,0.9514423652094868
0.0,2.0,301,0.0025,raw,646,1.7229615915311265,2.045016000467915,0.29256965944272445,0.17956656346749225,0.10526315789473684,0.007739938080495356,0.6468456570325382,0.26236362953626424,0.3900356948955642,0.23529411764705882,1.3542573118300298
0.0,2.0,301,0.0025,hysteresis,582,1.9124281582974358,2.124917115000233,0.3127147766323024,0.13917525773195877,0.15979381443298968,0.012027491408934709,0.6562022281417806,0.29759474697429067,0.4148021080274154,0.3010752688172043,1.2200894047756616
0.0,4.0,301,0.0025,raw,888,1.2533936843360685,1.0460741598166254,0.43355855855855857,0.3704954954954955,0.06306306306306306,0.0,0.804456758364008,0.432550355892007,0.5449473605797613,0.14285714285714285,1.8616124865582966
0.0,4.0,301,0.0025,hysteresis,821,1.3556803796472947,1.0627084667561466,0.4689403166869671,0.3751522533495737,0.0925700365408039,0.001218026796589525,0.832537087147977,0.49515356884003686,0.6116009103976671,0.14473684210526316,1.7211529858832901
0.5,0.0,301,0.0025,raw,481,2.3154310903340307,2.283411454899649,0.13513513513513514,0.004158004158004158,0.11226611226611227,0.018711018711018712,0.0428477288753636,0.03899400289833502,0.44746714519035435,0.1111111111111111,1.0077317105544785
0.5,0.0,301,0.0025,hysteresis,457,2.43702922199271,2.308766867674175,0.12472647702407003,0.0,0.10065645514223195,0.01312910284463895,0.0368472724810184,0.036400323832147606,0.46368415466612584,0.06521739130434782,0.9574498788428205
0.5,2.0,301,0.0025,raw,596,1.8688684589688092,2.1223367556425456,0.2785234899328859,0.12919463087248323,0.14093959731543623,0.008389261744966443,0.5627062149325839,0.19576096681588043,0.33647106000277066,0.21428571428571427,1.2485273225814955
0.5,2.0,301,0.0025,hysteresis,530,2.1015954746139816,2.1657464569652864,0.2981132075471698,0.06981132075471698,0.20943396226415095,0.016981132075471698,0.5567468018672217,0.22329752652989976,0.37558668880125895,0.3153153153153153,1.1102675855171018
0.5,4.0,301,0.0025,raw,742,1.5011797756187042,1.1643492919989096,0.35983827493261455,0.24932614555256064,0.1091644204851752,0.0013477088948787063,0.7275078796364676,0.33574059684146884,0.46719210538338923,0.12345679012345678,1.5543330460681573
0.5,4.0,301,0.0025,hysteresis,660,1.6876899901652702,2.0158641980412493,0.3984848484848485,0.2287878787878788,0.16363636363636364,0.006060606060606061,0.7486408153001873,0.39294990596937807,0.5086954334491731,0.23148148148148148,1.3825603913813798
0.0,0.0,301,0.005,raw,481,2.314756851539284,2.3007470852048337,0.10810810810810811,0.004158004158004158,0.08523908523908524,0.016632016632016633,0.02957261721367019,0.01740939972926636,0.4684414452399417,0.175,1.0080252410881496
