r,delta,rule,seed,cycles,mean_N,median_N,integer_fraction,band1,band2,band3,event_R1,event_R2,interval_R,next2_given2,event_Omega,Q2,phase_drift2,residual_variance
0,1,raw,102,517,2.1507712327202055,2.2656984294819185,0.16247582205029013,0.0367504835589942,0.1102514506769826,0.015473887814313346,0.3890744269056938,0.0282970546254854,0.2799468774056594,0.10526315789473684,1.0848821566123659,0.0051005876861313516,-0.16380112898191967,0.5058727426742349
0,1,raw,103,535,2.0784437027190905,2.223341960980441,0.20373831775700935,0.0616822429906542,0.12710280373831775,0.011214953271028037,0.44017668306889096,0.09587862987303876,0.3075075287766355,0.22058823529411764,1.1226348494697203,0.00945906875127927,-0.08814082939065448,0.4649417104002219
0,1,raw,104,518,2.1485060727209335,2.2568437818923144,0.15057915057915058,0.03667953667953668,0.10231660231660232,0.011583011583011582,0.37269117485172143,0.10180910748891256,0.3609451043668762,0.16981132075471697,1.0860259428442431,0.00691317736280162,-0.16642387308438877,0.6031095201585521
0,1,raw,105,513,2.167220316099133,2.2508203373413322,0.15204678362573099,0.03508771929824561,0.10526315789473684,0.011695906432748537,0.4025195344525643,0.06484229842509627,0.320254713523659,0.1111111111111111,1.0766479605235493,0.009658977791278202,-0.180307011694135,0.5446158210040448
0,1,raw,106,541,2.054764384877641,2.2340297125373345,0.17929759704251386,0.05545286506469501,0.09796672828096119,0.025878003696857672,0.4292838837999352,0.07890266260198714,0.26199832859459854,0.09433962264150944,1.1355722098873546,0.007022775870555517,-0.0656652309861756,0.4856183499952482
0,1,raw,107,522,2.1291253071072243,2.2461427302543986,0.13218390804597702,0.02681992337164751,0.09961685823754789,0.005747126436781609,0.40658785428847344,0.0567550702089153,0.33199655285676716,0.1346153846153846,1.0959116992994462,0.015585929882114023,-0.14238140075775618,0.6091150831315243
0,1,raw,108,523,2.130109063164221,2.2519664039205853,0.1586998087954111,0.03824091778202677,0.11089866156787763,0.009560229445506692,0.38179035717479176,0.05142809941834823,0.2820846499939148,0.08620689655172414,1.0954055703923575,0.013063112839631873,-0.14256237422451923,0.48911243451616854
0,1,raw,201,537,2.074214712423194,2.2324514660868116,0.19180633147113593,0.054003724394785846,0.12104283054003724,0.01675977653631285,0.398998037379251,0.041645616016909706,0.27025589039534814,0.1076923076923077,1.1249237214248786,0.01905614758942101,-0.08773287735872382,0.4700380391779305
0,1,raw,202,540,2.054554115148125,2.2234963395012937,0.2074074074074074,0.06481481481481481,0.12037037037037036,0.020370370370370372,0.4365282428507403,0.11040200506732509,0.30752844182905154,0.15384615384615385,1.13568842802912,0.005822814428729078,-0.07220635705551315,0.5355321270425615
0,1,raw,203,529,2.0978593206960867,2.2386158269689256,0.1833648393194707,0.05671077504725898,0.10586011342155009,0.020793950850661626,0.4224970367218326,0.058175762894628384,0.3049921763150509,0.16071428571428573,1.1122449014165139,0.010827677233632843,-0.11033334538248285,0.5219076743345711
0,1,raw,204,548,2.0288165515504124,2.199386374509067,0.2281021897810219,0.072992700729927,0.1332116788321168,0.020072992700729927,0.4634179224313811,0.08697666145553401,0.25386680325985933,0.1917808219178082,1.1500957696496565,0.02693539234554327,-0.03816393900740822,0.415096712538097
0,1,raw,205,533,2.085979275086995,2.2367055244655023,0.15572232645403378,0.04878048780487805,0.08442776735459662,0.01876172607879925,0.4212337093847929,0.07358241882071094,0.2564246006828991,0.08888888888888889,1.1185793460177225,0.012781043649765846,-0.10125641359591331,0.4335000716873008
0,1,raw,206,523,2.128840095189097,2.241325724154287,0.18164435946462715,0.06309751434034416,0.1089866156787763,0.009560229445506692,0.4067223639561545,0.06922017992318652,0.3274963430219775,0.12280701754385964,1.0960585243609253,0.009584040040050238,-0.1414553587423959,0.5224031522647241
0,1,raw,207,519,2.1427423003354624,2.2373460503235276,0.1676300578034682,0.03468208092485549,0.11368015414258188,0.019267822736030827,0.4114301246150497,0.06722268408565765,0.295017240754063,0.11864406779661017,1.088947249031315,0.014172608375429883,-0.15965912445919717,0.4958531640617674
0,1,raw,208,549,2.0271323477850554,2.214377395377832,0.22768670309653916,0.10018214936247723,0.12021857923497267,0.007285974499089253,0.4302098957914721,0.10557426536809565,0.2975434023169641,0.15151515151515152,1.151051304510457,0.009103485173498795,-0.02978609787193598,0.49005078592705936
0,1,hysteresis,101,500,2.224119788542221,2.233099410145714,0.224,0.036,0.168,0.02,0.4492576288867715,0.10657310908916058,0.28387669313710884,0.25,1.0491041648717563,0.009796822007254716,-0.059001822070926746,0.42181993179520605
