r,delta,seed,sample_dt,rule,cycles,mean_N,median_N,integer_fraction,band1,band2,band3,event_R1,event_R2,interval_R,next2_given2,event_Omega
0.5,1.0,201,0.2,hysteresis,479,2.3206198396983635,2.3045565999722424,0.1941544885177453,0.014613778705636743,0.13569937369519833,0.037578288100208766,0.330155381652638,0.09935681395261241,0.26348787863959316,0.09230769230769231,1.0054784904521987
0.5,1.5,201,0.05,raw,562,1.9780087058568467,2.1755464903654986,0.23843416370106763,0.09608540925266904,0.12811387900355872,0.014234875444839857,0.4935905929618308,0.11020801506515397,0.24870104259903789,0.1527777777777778,1.179637544781465
0.5,1.5,201,0.05,hysteresis,504,2.205636691848309,2.237415171830621,0.24206349206349206,0.0496031746031746,0.16666666666666666,0.021825396825396824,0.471131549349477,0.13128342694914094,0.2598312140370123,0.20238095238095238,1.0578955917613138
0.5,1.5,201,0.2,raw,561,1.9815296115234333,2.1751986169050483,0.23885918003565063,0.0962566844919786,0.12834224598930483,0.0142602495543672,0.4883123373271479,0.10649825953863165,0.24435969364851504,0.1527777777777778,1.177541491060246
0.5,1.5,201,0.2,hysteresis,504,2.2056311747314408,2.23822522990517,0.24206349206349206,0.0496031746031746,0.16666666666666666,0.021825396825396824,0.46576768691260373,0.1292536522007039,0.2581696957334936,0.20238095238095238,1.057898237957868
0.5,2.0,201,0.05,raw,606,1.8382784196027442,2.1038102273378088,0.2838283828382838,0.14026402640264027,0.13036303630363036,0.013201320132013201,0.5758273922743549,0.15491020682933263,0.30104130614116176,0.22784810126582278,1.2693035551369698
0.5,2.0,201,0.05,hysteresis,543,2.0472842030893363,2.1748177333582768,0.3020257826887661,0.10865561694290976,0.1731123388581952,0.020257826887661142,0.5713154051669742,0.18070502633442498,0.3025234131161943,0.26595744680851063,1.1397212608842247
0.5,2.0,201,0.2,raw,605,1.8413165259461148,2.1052410880794836,0.28429752066115704,0.13884297520661157,0.1322314049586777,0.013223140495867768,0.5699407958398236,0.15175519287263053,0.29751836279359806,0.225,1.2672092497157206
0.5,2.0,201,0.2,hysteresis,541,2.0548501384570756,2.176756751600322,0.30129390018484287,0.10536044362292052,0.1756007393715342,0.02033271719038817,0.5654781368580649,0.17836887472633564,0.2985726034713848,0.2631578947368421,1.1355248198709822
0.5,3.0,201,0.05,raw,702,1.586901796018034,1.2799847260785457,0.32193732193732194,0.2094017094017094,0.10683760683760683,0.005698005698005698,0.6744664433799185,0.23609433485361275,0.37572074122003296,0.16,1.4703703399846781
0.5,3.0,201,0.05,hysteresis,615,1.8113903427718048,2.0697632423907675,0.34308943089430893,0.16585365853658537,0.16747967479674797,0.00975609756097561,0.6928327883976056,0.2876982752782664,0.4194098230198406,0.23300970873786409,1.288144955969483
0.5,3.0,201,0.2,raw,699,1.5927592710748322,1.2973668186746612,0.32474964234620884,0.21030042918454936,0.10872675250357654,0.005722460658082976,0.6685480851748219,0.22916900208609015,0.3704770072469742,0.15789473684210525,1.4649629581240762
0.5,3.0,201,0.2,hysteresis,610,1.8251454598054224,2.0752020971525234,0.34262295081967215,0.16393442622950818,0.16885245901639345,0.009836065573770493,0.6878666505668855,0.28197777454718165,0.41260805324143623,0.23300970873786409,1.2784369162456173
0.5,4.0,201,0.05,raw,775,1.4374233911094831,1.1255455528740224,0.3406451612903226,0.24774193548387097,0.09161290322580645,0.0012903225806451613,0.7330055015996934,0.31335955381946606,0.4214246214639432,0.15492957746478872,1.6232749152164117
0.5,4.0,201,0.05,hysteresis,683,1.631044111434626,1.9169919948628638,0.37774524158125916,0.21815519765739386,0.15519765739385066,0.004392386530014641,0.7548985411147563,0.37029545564896515,0.5021805189441818,0.20754716981132076,1.4305764736681408
0.5,4.0,201,0.2,raw,770,1.4457971278272825,1.1379716715938417,0.34155844155844156,0.24805194805194805,0.09220779220779221,0.0012987012987012987,0.726749715062231,0.3062078420320155,0.41332386420459216,0.16901408450704225,1.613873266465693
0.5,4.0,201,0.2,hysteresis,680,1.637152630039717,1.9375615686994567,0.375,0.21470588235294116,0.15588235294117647,0.004411764705882353,0.7486324919753921,0.3594461282165008,0.49179615137412824,0.20754716981132076,1.4252387288268455
0.0,0.0,202,0.05,raw,476,2.3308962138499343,2.3234117824981384,0.09033613445378151,0.0021008403361344537,0.07563025210084033,0.01050420168067227,0.04154291830209054,0.027566410721114164,0.4372895463473843,0.05555555555555555,1.0010455718572615
0.0,0.0,202,0.05,hysteresis,444,2.4988887337670467,2.345800920198214,0.09234234234234234,0.0,0.06981981981981981,0.009009009009009009,0.0426125103310732,0.019646413530821173,0.46775056018139244,0.06451612903225806,0.9337483905559331
0.0,0.0,202,0.2,raw,475,2.3358044807875253,2.3249451299591795,0.09263157894736843,0.004210526315789474,0.07368421052631578,0.010526315789473684,0.039262094316222976,0.025581247445030125,0.4380734248355453,0.05714285714285714,0.9989420572335923
0.0,0.0,202,0.2,hysteresis,444,2.498889928770438,2.3465833318227363,0.09234234234234234,0.0,0.06981981981981981,0.009009009009009009,0.042404262168567804,0.020179642092391408,0.46814048158766236,0.06451612903225806,0.9337479440246631
0.0,1.0,202,0.05,raw,538,2.062191992039984,2.2240436102611465,0.20631970260223048,0.06505576208178439,0.120817843866171,0.020446096654275093,0.43745060104814754,0.10868007568718228,0.31129463348033953,0.15384615384615385,1.131482103674124
0.0,1.0,202,0.05,hysteresis,489,2.268832907397774,2.278156284302304,0.21063394683026584,0.034764826175869123,0.130879345603272,0.04294478527607362,0.42306249754394354,0.13432972603356502,0.31645773208823985,0.1875,1.028428900923135
0.0,1.0,202,0.2,raw,537,2.06603447998119,2.226038612601436,0.2085661080074488,0.0670391061452514,0.1191806331471136,0.0223463687150838,0.43143608304073433,0.10440590692526926,0.3118293844755031,0.15625,1.1293777310795787
0.0,1.0,202,0.2,hysteresis,486,2.2828405673866237,2.2789864577148835,0.20987654320987653,0.03292181069958848,0.13168724279835392,0.0411522633744856,0.4159690954467963,0.1296778960465914,0.31804562913579737,0.1875,1.0221183934910154
0.0,1.5,202,0.05,raw,594,1.8677289824595429,2.146403932141792,0.2609427609427609,0.12121212121212122,0.11784511784511785,0.021885521885521887,0.5624449180642319,0.16624500303146972,0.3105270478925499,0.18571428571428572,1.2492890324273136
0.0,1.5,202,0.05,hysteresis,535,2.073702832861623,2.1998798195096554,0.27476635514018694,0.08971962616822429,0.15700934579439252,0.028037383177570093,0.5640574449067346,0.20127355380049528,0.32832688095897905,0.27380952380952384,1.125201401260291
0.0,1.5,202,0.2,raw,594,1.8677321286658128,2.1485582888262704,0.2558922558922559,0.11784511784511785,0.11616161616161616,0.021885521885521887,0.5555668837736933,0.1610462577057777,0.3067660070081746,0.18840579710144928,1.2492869279922467
0.0,1.5,202,0.2,hysteresis,534,2.0775896712125337,2.2023049592179227,0.27153558052434457,0.0898876404494382,0.15355805243445692,0.028089887640449437,0.5589825657309876,0.19928922548901204,0.3240169075502477,0.2804878048780488,1.1230963292051512
