r,delta,seed,factor,cycles,mean_N,median_N,integer_fraction,band1,band2,band3,event_R1,event_R2,interval_R,next2_given2,event_Omega
0.5,4.0,202,0.1,720,1.5405521254186298,1.1899489690783862,0.36666666666666664,0.24583333333333332,0.11527777777777778,0.005555555555555556,0.7499054545992689,0.3538392021193934,0.46718776700737247,0.1686746987951807,1.5146084931720651
0.5,4.0,202,0.25,672,1.650591562948532,1.9863408320038274,0.40029761904761907,0.23065476190476192,0.1636904761904762,0.005952380952380952,0.7587746133452454,0.38750429628063243,0.5107196115846661,0.20909090909090908,1.4136345936272607
0.5,4.0,202,0.5,580,1.912409535002437,2.0897206173352156,0.4189655172413793,0.15,0.25,0.01896551724137931,0.7522417929656909,0.39890610293324064,0.526641716341504,0.2896551724137931,1.2201012861663858
0.0,0.0,203,0.1,466,2.3811333254212754,2.3297285690420657,0.10944206008583691,0.0,0.08583690987124463,0.019313304721030045,0.027283140424590124,0.026637040529675547,0.43773205909316315,0.15384615384615385,0.9799255289161579
0.0,0.0,203,0.25,452,2.4548852425803416,2.3377406515711066,0.11061946902654868,0.0,0.084070796460177,0.017699115044247787,0.031736509192171206,0.022539982794785234,0.45704388730227846,0.16216216216216217,0.9504857061590202
0.0,0.0,203,0.5,416,2.6673272347267174,2.348219164757052,0.09134615384615384,0.0,0.06490384615384616,0.009615384615384616,0.017261833814732952,0.03451584867373093,0.47261071472590416,0.15384615384615385,0.8747833047835231
0.0,1.0,203,0.1,508,2.1845818516697437,2.259196668833634,0.18110236220472442,0.04133858267716536,0.11220472440944881,0.027559055118110236,0.4263349527357306,0.07108230895561331,0.3181820789658019,0.21052631578947367,1.068091512135329
0.0,1.0,203,0.25,484,2.2929082244798136,2.2795339606458356,0.16942148760330578,0.01652892561983471,0.11983471074380166,0.028925619834710745,0.409285410600897,0.05851824390283801,0.3406673357285411,0.2413793103448276,1.0176304958139748
0.0,1.0,203,0.5,446,2.488268118045358,2.31756034554415,0.14349775784753363,0.0,0.10089686098654709,0.026905829596412557,0.37227172170227807,0.0208773545861173,0.35833755247414756,0.24444444444444444,0.9377338866384974
0.0,1.5,203,0.1,561,1.978333657854285,2.17419804819772,0.25846702317290554,0.1051693404634581,0.1354723707664884,0.017825311942959002,0.5671335095537401,0.15500349455762305,0.3180023098104982,0.2236842105263158,1.1794437829380529
0.0,1.5,203,0.25,523,2.1210598594969974,2.20442282697167,0.25239005736137665,0.0745697896749522,0.1491395793499044,0.028680688336520075,0.5645639333732158,0.1727469620047965,0.3262732084505481,0.23376623376623376,1.1000789642432234
0.0,1.5,203,0.5,466,2.3805028036843985,2.261792639637762,0.22317596566523606,0.01072961373390558,0.1609442060085837,0.0407725321888412,0.527368685308552,0.13513953382230337,0.3184253698480933,0.2702702702702703,0.9801850809509409
0.0,2.0,203,0.1,621,1.7872499316592312,2.095128961432853,0.286634460547504,0.15942028985507245,0.11594202898550725,0.011272141706924315,0.658837127200048,0.22395990831675458,0.35519300685911664,0.1388888888888889,1.30554394883492
0.0,2.0,203,0.25,584,1.9004832321239422,2.130583328296117,0.3082191780821918,0.1386986301369863,0.14897260273972604,0.02054794520547945,0.6676153916009208,0.25551730136022094,0.38437802540368665,0.16091954022988506,1.227757916456672
0.0,2.0,203,0.5,511,2.170638363506408,2.1746854566215013,0.30528375733855184,0.05283757338551859,0.2054794520547945,0.043052837573385516,0.64801151938168,0.2469721852414011,0.3918573748132171,0.2980769230769231,1.074952591164984
0.0,3.0,203,0.1,766,1.4489802828026819,1.1302228781965806,0.3433420365535248,0.26631853785900783,0.07441253263707572,0.0026109660574412533,0.7661025487594623,0.3527891833540491,0.4782487742808663,0.17543859649122806,1.6103278705905486
0.0,3.0,203,0.25,709,1.5654709402353375,1.1991496373310246,0.35684062059238364,0.2397743300423131,0.11424541607898449,0.0028208744710860366,0.7791820347923071,0.38210679337942766,0.5171198610327395,0.2345679012345679,1.4904992953638367
0.0,3.0,203,0.5,627,1.7702055767573435,2.053894382252965,0.4003189792663477,0.1850079744816587,0.2025518341307815,0.012759170653907496,0.7868210377537267,0.40957284876853156,0.555556730037959,0.25984251968503935,1.31811432749383
0.0,4.0,203,0.1,876,1.269124109588513,1.0495423283897278,0.4018264840182648,0.341324200913242,0.0593607305936073,0.001141552511415525,0.8297189108805255,0.46785942894530447,0.565361780216538,0.15384615384615385,1.8385383397135742
0.0,4.0,203,0.25,832,1.3350468462923213,1.0618430023030014,0.42427884615384615,0.33653846153846156,0.08413461538461539,0.003605769230769231,0.8422693403487143,0.49790980476284963,0.5993614718646255,0.22857142857142856,1.747753900781417
0.0,4.0,203,0.5,726,1.5299710414810073,1.1439035463856615,0.465564738292011,0.28236914600550966,0.1790633608815427,0.004132231404958678,0.8551751202108746,0.534811944740615,0.658415500178263,0.3230769230769231,1.525083331691477
0.5,0.0,203,0.1,468,2.370655759153802,2.323588282224362,0.10256410256410256,0.002136752136752137,0.08333333333333333,0.01282051282051282,0.029245850111181835,0.015429996024464751,0.4139343639069253,0.18421052631578946,0.9842564970994397
0.5,0.0,203,0.25,449,2.470973040721557,2.340025651799857,0.0935412026726058,0.0,0.0757238307349666,0.008908685968819599,0.024714561533795778,0.021665881256764486,0.42440420122173117,0.18181818181818182,0.9442973658069411
0.5,0.0,203,0.5,387,2.8614844142999467,2.350822068550708,0.08010335917312661,0.0,0.05426356589147287,0.002583979328165375,0.017360492321612638,0.03116045597070858,0.44861510540264476,0.19047619047619047,0.815427587748779
0.5,1.0,203,0.1,498,2.2283193153766954,2.2676639997828714,0.178714859437751,0.03815261044176707,0.11847389558232932,0.02208835341365462,0.35928793679887355,0.03834583942710002,0.2988245059110627,0.23728813559322035,1.0471270060946745
0.5,1.0,203,0.25,473,2.3460951777116157,2.2999668746207305,0.1733615221987315,0.016913319238900635,0.12050739957716702,0.02536997885835095,0.3373990596515471,0.032306713744948735,0.3244487533326985,0.2807017543859649,0.9945603893228536
0.5,1.0,203,0.5,410,2.701422850901555,2.346142836959418,0.10975609756097561,0.0,0.07317073170731707,0.014634146341463415,0.2834368058786324,0.012170042491954478,0.3652829559057063,0.23333333333333334,0.8637423543502721
0.5,1.5,203,0.1,529,2.0978491585509618,2.214062511176603,0.20415879017013233,0.0661625708884688,0.12287334593572778,0.015122873345935728,0.4915928330468185,0.10129612612187752,0.27107090880920337,0.15625,1.1122502892176604
0.5,1.5,203,0.25,493,2.251038955118578,2.2435389047912704,0.20486815415821502,0.028397565922920892,0.15618661257606492,0.018255578093306288,0.4688328398845706,0.08298015955934818,0.2836039952100538,0.2631578947368421,1.0365583980799749
0.5,1.5,203,0.5,433,2.562961212178889,2.3131018433623836,0.15704387990762125,0.0,0.12009237875288684,0.023094688221709007,0.4173647739975727,0.03873639805076181,0.2845150306505633,0.17647058823529413,0.9104052461838318
0.5,2.0,203,0.1,567,1.957315057401237,2.158418367363273,0.2292768959435626,0.09700176366843033,0.12169312169312169,0.010582010582010581,0.5756251323879441,0.15743872078792281,0.30507092999400853,0.17647058823529413,1.1921092235561417
0.5,2.0,203,0.25,526,2.109881440202474,2.1876587049785488,0.24334600760456274,0.06463878326996197,0.15779467680608364,0.019011406844106463,0.564431703700115,0.15338048591052994,0.313918537305566,0.2289156626506024,1.1059073220291544
0.5,2.0,203,0.5,449,2.471709660459914,2.269323946850939,0.21380846325167038,0.004454342984409799,0.15812917594654788,0.031180400890868598,0.5146405978868939,0.10434932780877272,0.3018240301611777,0.2535211267605634,0.944015945990666
0.5,3.0,203,0.1,656,1.6918249892102966,2.0270103664694297,0.29573170731707316,0.18140243902439024,0.10823170731707317,0.006097560975609756,0.6847036644024121,0.2607933751107961,0.3983129702263345,0.1267605633802817,1.3791812676927522
0.5,3.0,203,0.25,600,1.849728654869924,2.1011840231046497,0.30666666666666664,0.15166666666666667,0.14666666666666667,0.008333333333333333,0.6880956712024809,0.28460015174923836,0.411227083178413,0.17045454545454544,1.2614462814262974
0.5,3.0,203,0.5,502,2.210831061597519,2.1686610929994954,0.3187250996015936,0.037848605577689244,0.24701195219123506,0.027888446215139442,0.6614312387361317,0.27313054095434564,0.4222978642292654,0.3064516129032258,1.0554100554600023
0.5,4.0,203,0.1,711,1.5609845210361917,1.1899359026728713,0.34458509142053445,0.2320675105485232,0.10548523206751055,0.007032348804500703,0.7493671964392076,0.3516673430543725,0.4778982353250385,0.12,1.4947831332654418
0.5,4.0,203,0.25,663,1.6739969750478616,1.9937768645767198,0.3514328808446455,0.21116138763197587,0.13273001508295626,0.007541478129713424,0.754833010383214,0.3754062026545612,0.4981021140140061,0.13636363636363635,1.393869504015454
0.5,4.0,203,0.5,558,1.9889964058364378,2.1081091460847903,0.3781362007168459,0.10215053763440861,0.25268817204301075,0.023297491039426525,0.7417631324985281,0.37674713323134384,0.5199712083706081,0.2695035460992908,1.1731209400311062
0.0,0.0,204,0.1,474,2.3449940582572784,2.329614422544817,0.10759493670886076,0.002109704641350211,0.08227848101265822,0.02109704641350211,0.013838060639352567,0.04344171521354447,0.41082387411005067,0.02564102564102564,0.995027396814553
0.0,0.0,204,0.25,465,2.39038104003,2.339894115972507,0.10967741935483871,0.002150537634408602,0.08387096774193549,0.01935483870967742,0.009092847774709117,0.038264494023796475,0.41735717189010324,0.02564102564102564,0.9761344715585805
0.0,0.0,204,0.5,426,2.597292293244828,2.352084126625905,0.1056338028169014,0.0,0.07746478873239436,0.014084507042253521,0.011307905515492342,0.043715055892807914,0.44038226744063064,0.0,0.8983714845656716
0.0,1.0,204,0.1,524,2.12082772857895,2.226550158147762,0.23473282442748092,0.05916030534351145,0.15076335877862596,0.02480916030534351,0.4619292358829464,0.09210681677647393,0.24910282348468724,0.21794871794871795,1.1001993711656968
0.0,1.0,204,0.25,504,2.2049875590781145,2.248543208215639,0.2361111111111111,0.037698412698412696,0.1626984126984127,0.03571428571428571,0.45111149998096267,0.08709033632191132,0.2627069377589822,0.24691358024691357,1.0582070287547924
0.0,1.0,204,0.5,461,2.410658849838112,2.310278923357482,0.22342733188720174,0.006507592190889371,0.1540130151843818,0.04338394793926247,0.4207011460528867,0.06097462468194117,0.2800626546616381,0.2,0.9679234925713477
0.0,1.5,204,0.1,586,1.8973840964155397,2.1324945885064475,0.2696245733788396,0.12286689419795221,0.13310580204778158,0.013651877133105802,0.6134933900313901,0.17486590423546453,0.30708909702069376,0.1794871794871795,1.2297633029292123
0.0,1.5,204,0.25,547,2.031400149250976,2.165245069361791,0.27787934186471663,0.08957952468007313,0.16270566727605118,0.025594149908592323,0.6130695458196851,0.18636496094962043,0.3152282069273564,0.25,1.1486330421870292
0.0,1.5,204,0.5,496,2.2402739549199273,2.218645284292122,0.27419354838709675,0.034274193548387094,0.18951612903225806,0.04435483870967742,0.5897278876366905,0.16308909342533925,0.312940916185942,0.24731182795698925,1.0415392850544176
0.0,2.0,204,0.1,653,1.704386172838799,2.0276014678134096,0.33843797856049007,0.18223583460949463,0.14854517611026033,0.007656967840735069,0.7057621249496409,0.2650481939700334,0.4151246667782545,0.1958762886597938,1.3690168170321222
0.0,2.0,204,0.25,617,1.802111769676154,2.064320786810135,0.34035656401944897,0.16045380875202594,0.1685575364667747,0.011345218800648298,0.7150427431888097,0.28990097644999085,0.43383289375222467,0.20192307692307693,1.2947772566585267
0.0,2.0,204,0.5,545,2.038754356420689,2.1333708914820275,0.3431192660550459,0.07706422018348624,0.23853211009174313,0.025688073394495414,0.7081900374549954,0.2923271965883985,0.4407749106175767,0.3023255813953488,1.1444896860599814
0.0,3.0,204,0.1,794,1.4017419528585886,1.0969942122133522,0.4017632241813602,0.29848866498740556,0.10201511335012595,0.0012594458438287153,0.7979199626065956,0.41066941342389596,0.5480955697563371,0.13580246913580246,1.664595490328972
0.0,3.0,204,0.25,747,1.4899372296783393,1.1412621482040906,0.4190093708165997,0.285140562248996,0.13253012048192772,0.0013386880856760374,0.8145758447859597,0.446443374543805,0.580302578406348,0.1717171717171717,1.5660615003472822
0.0,3.0,204,0.5,674,1.6497557070987927,1.978619475044072,0.45103857566765576,0.2507418397626113,0.18694362017804153,0.013353115727002967,0.8250504154155699,0.48001713255157497,0.6133166974246863,0.24603174603174602,1.414350817695705
