r,delta,omega,seed,rule,cycles,mean_N,median_N,integer_fraction,band1,band2,band3,event_R1,event_R2,interval_R,next2_given2,event_Omega,Q1,Q2,Q3,phase_drift2
0.0,0.0,2.375,101,raw,483,2.343527261655927,2.3443535979755854,0.09937888198757763,0.002070393374741201,0.07660455486542443,0.018633540372670808,0.03927968521911914,0.03347032669877644,0.41776829760647455,0.16216216216216217,1.0134296446467768,0.005889715546266469,0.03028087198962835,0.005104826280687871,-0.34833118756405046
0.0,0.0,2.4,101,raw,483,2.368195969673358,2.3690310042700653,0.08488612836438923,0.002070393374741201,0.06625258799171843,0.016563146997929608,0.02809190819138333,0.037459727204032324,0.4138866637262575,0.125,1.0134296446467768,0.0051485999200692285,0.009223445065071213,0.016155108672939095,-0.37333118756405037
0.0,0.0,2.414213562373095,101,raw,483,2.3822211784761347,2.383061158412977,0.07660455486542443,0.002070393374741201,0.057971014492753624,0.016563146997929608,0.05536200747286697,0.012513146139151768,0.41164199078886776,0.07142857142857142,1.0134296446467768,0.0031203092917097435,0.026383249268765445,0.018678005524432155,-0.3875447499371454
0.0,0.0,2.425,101,raw,483,2.3928646776907887,2.393708410564545,0.07660455486542443,0.002070393374741201,0.057971014492753624,0.016563146997929608,0.031782510475273765,0.04063119587452216,0.4099189021082982,0.07142857142857142,1.0134296446467768,0.0022467239769949194,0.015941128659495173,0.024397245989790775,-0.3983311875640503
0.0,0.0,2.45,101,raw,483,2.41753338570822,2.4183858168590255,0.08074534161490683,0.002070393374741201,0.055900621118012424,0.022774327122153208,0.0085974222401923,0.021129439811136606,0.4058563280986893,0.1111111111111111,1.0134296446467768,0.007181657601154681,0.010082799812054148,0.020907759712254486,-0.42333118756405064
0.0,0.0,2.475,101,raw,483,2.4422020937256503,2.4430632231535054,0.08074534161490683,0.002070393374741201,0.053830227743271224,0.022774327122153208,0.06571683909588072,0.04980029921157306,0.40169244280380506,0.07692307692307693,1.0134296446467768,0.0021795214801433736,0.014070561494448037,0.03506532164312745,-0.44833118756405055
0.0,0.0,2.5,101,raw,483,2.466870801743081,2.467740629447985,0.07453416149068323,0.002070393374741201,0.051759834368530024,0.018633540372670808,0.006348867704451131,0.04375247204735161,0.397423132828538,0.08333333333333333,1.0134296446467768,0.002725816882348255,0.0240999296056445,0.005462957687281161,-0.47333118756405046
0.0,0.0,2.525,101,raw,483,2.491539509760512,2.4924180357424643,0.07246376811594203,0.0,0.047619047619047616,0.022774327122153208,0.024026684211028045,0.0895819468617415,0.3930468102340177,0.045454545454545456,1.0134296446467768,0.002073845544962507,0.0222809697494685,0.020654615595488413,-0.49833118756405037
0.0,0.0,2.55,101,raw,483,2.5162082177779426,2.5170954420369442,0.08902691511387163,0.0,0.047619047619047616,0.037267080745341616,0.04670440659917354,0.10094921403656541,0.38856448776269886,0.045454545454545456,1.0134296446467768,0.0059483127886868475,0.023776303066295093,0.031154229200475173,-0.5233311875640503
0.0,0.0,2.575,101,raw,483,2.5408769257953736,2.5417728483314246,0.08488612836438923,0.0,0.039337474120082816,0.041407867494824016,0.031232120020582056,0.06020954600487823,0.3839797860359808,0.0,1.0134296446467768,0.005066081403297277,0.011520030935716831,0.02938038901969278,-0.5483311875640506
0.0,0.0,2.6,101,raw,483,2.5655456338128046,2.5664502546259045,0.08281573498964803,0.0,0.037267080745341616,0.043478260869565216,0.013643157178107525,0.028319203312036568,0.3792988711657442,0.0,1.0134296446467768,0.006679004015144952,0.015795394518587098,0.005579111819371585,-0.5733311875640505
0.0,1.0,1.9,101,raw,577,1.5721323319801217,1.8099774773137647,0.44020797227036396,0.12305025996533796,0.317157712305026,0.0,0.5588525251989702,0.11590880328663221,0.4844928132932662,0.40437158469945356,1.208549662996196,0.48816878536554614,0.009140974354410476,0.04704554176567272,0.5170418251136422
0.0,1.0,1.925,101,raw,578,1.5881369162166037,1.8266258998348206,0.46366782006920415,0.11937716262975778,0.34429065743944637,0.0,0.5290184150819451,0.09972936146024731,0.5535917625380171,0.4824120603015075,1.2121121172511378,0.4783006377180839,0.04558705314508184,0.04582952244944309,0.5002703976123872
0.0,1.0,1.95,101,raw,573,1.6229458120525888,1.876413007265936,0.518324607329843,0.12216404886561955,0.3961605584642234,0.0,0.5931637562780133,0.2169717647202216,0.6079283484329094,0.5550660792951542,1.201518858805135,0.4681376691606542,0.043715429331898696,0.037135353876126494,0.4541519543242345
0.0,1.0,1.975,101,raw,564,1.6701643136485704,1.897822177138945,0.5301418439716312,0.12411347517730496,0.40602836879432624,0.0,0.5253954315465033,0.16468821743880419,0.6160150426612699,0.4978165938864629,1.1825183808924156,0.45315539727768445,0.034305129007753433,0.044421039050758865,0.38699864939792583
0.0,1.0,2.0,101,raw,566,1.6855091655464076,1.9236392166463534,0.5530035335689046,0.11837455830388692,0.43462897526501765,0.0,0.5769421711972118,0.1806474972996487,0.6020225206680575,0.5894308943089431,1.1865850633637112,0.4457853200090669,0.06250003651113385,0.04061673012496651,0.374157921391554
0.0,1.0,2.025,101,raw,568,1.7008263481387125,1.9458840594119517,0.545774647887324,0.1056338028169014,0.44014084507042256,0.0,0.6098043625015003,0.24790608946457618,0.6177429232639324,0.568,1.1905977363391886,0.43484969563232023,0.10071496570824447,0.02890845390815155,0.3529404416407753
0.0,1.0,2.05,101,raw,561,1.743594004120153,1.957619022888412,0.49732620320855614,0.09090909090909091,0.40641711229946526,0.0,0.5317357261032616,0.16430370198972669,0.5383192029394809,0.5219298245614035,1.175732421169035,0.4276394893838015,0.028278843417995657,0.024507628434647093,0.29835418311945494
0.0,1.0,2.075,101,raw,561,1.7651777741322836,1.981573558744023,0.5080213903743316,0.09269162210338681,0.41354723707664887,0.0017825311942959,0.5411294577320072,0.16283272008330962,0.5816772806869358,0.5431034482758621,1.1755189932753471,0.422243910436865,0.03333077330193125,0.042105995628310085,0.27736654277543016
