seed,delta,omega,rule,crossings,max_event_time_error
108,2.5,2.175,raw,752,4.547473508864641e-13
108,2.5,2.175,hysteresis,679,4.547473508864641e-13
108,2.5,2.2,raw,744,4.547473508864641e-13
108,2.5,2.2,hysteresis,664,4.547473508864641e-13
108,2.5,2.225,raw,743,4.547473508864641e-13
108,2.5,2.225,hysteresis,668,4.547473508864641e-13
108,2.5,2.25,raw,718,9.094947017729282e-13
108,2.5,2.25,hysteresis,649,9.094947017729282e-13
108,2.5,2.275,raw,736,4.547473508864641e-13
108,2.5,2.275,hysteresis,640,4.547473508864641e-13
108,2.5,2.3,raw,721,4.547473508864641e-13
108,2.5,2.3,hysteresis,640,4.547473508864641e-13
108,2.5,2.325,raw,729,4.547473508864641e-13
108,2.5,2.325,hysteresis,630,4.547473508864641e-13
108,2.5,2.3333333333333335,raw,727,9.094947017729282e-13
108,2.5,2.3333333333333335,hysteresis,648,9.094947017729282e-13
108,2.5,2.35,raw,727,9.094947017729282e-13
108,2.5,2.35,hysteresis,637,4.547473508864641e-13
108,2.5,2.375,raw,716,9.094947017729282e-13
108,2.5,2.375,hysteresis,621,9.094947017729282e-13
108,2.5,2.4,raw,705,2.7284841053187847e-12
108,2.5,2.4,hysteresis,621,9.094947017729282e-13
108,2.5,2.414213562373095,raw,718,9.094947017729282e-13
108,2.5,2.414213562373095,hysteresis,626,9.094947017729282e-13
108,2.5,2.425,raw,703,9.094947017729282e-13
108,2.5,2.425,hysteresis,626,4.547473508864641e-13
108,2.5,2.45,raw,702,9.094947017729282e-13
108,2.5,2.45,hysteresis,617,9.094947017729282e-13
108,2.5,2.475,raw,700,9.094947017729282e-13
108,2.5,2.475,hysteresis,612,9.094947017729282e-13
108,2.5,2.5,raw,707,9.094947017729282e-13
108,2.5,2.5,hysteresis,610,9.094947017729282e-13
108,2.5,2.525,raw,692,9.094947017729282e-13
108,2.5,2.525,hysteresis,608,9.094947017729282e-13
108,2.5,2.55,raw,667,4.547473508864641e-13
108,2.5,2.55,hysteresis,587,4.547473508864641e-13
108,2.5,2.575,raw,675,9.094947017729282e-13
108,2.5,2.575,hysteresis,599,9.094947017729282e-13
108,2.5,2.6,raw,683,9.094947017729282e-13
108,2.5,2.6,hysteresis,586,9.094947017729282e-13
