delta,elapsed_drive_periods,phase_change_turns,ci_low,ci_high,seeds
0,45.677468667373965,-6.702389566780121,-7.312901947191906,-6.091877186368335,8
0,46.04883020125506,-6.716071199513729,-7.257945033247818,-6.174197365779641,8
0,46.42019173513614,-6.727888548005133,-7.272645201717726,-6.18313189429254,8
0,46.79155326901723,-6.779856594170823,-7.322218951800821,-6.237494236540826,8
0,47.16291480289833,-6.868021222150398,-7.411843204366032,-6.324199239934765,8
0,47.53427633677941,-6.897815077469018,-7.432432582465199,-6.363197572472838,8
0,47.9056378706605,-6.9466406500890185,-7.522278344443078,-6.3710029557349594,8
0,48.27699940454159,-6.98793092745823,-7.5298450428927,-6.4460168120237595,8
0,48.64836093842268,-7.0498316848324105,-7.583467565985853,-6.5161958036789684,8
0,49.01972247230376,-7.1026511414366835,-7.666190787203112,-6.539111495670255,8
0,49.39108400618486,-7.225311566792997,-7.867912696017866,-6.582710437568128,8
0,49.76244554006595,-7.311682307059784,-7.984761285570385,-6.638603328549183,8
0,50.13380707394703,-7.399990513568229,-8.124589795706715,-6.675391231429743,8
0,50.505168607828125,-7.419901786039573,-8.109255045610677,-6.730548526468469,8
0,50.87653014170922,-7.472020369624403,-8.190794013642035,-6.75324672560677,8
0,51.2478916755903,-7.544655252356531,-8.289684004272395,-6.7996265004406675,8
0,51.619253209471395,-7.61952923227804,-8.36752553595544,-6.87153292860064,8
0,51.99061474335248,-7.663776205308944,-8.3987706797316,-6.928781730886288,8
0,52.361976277233566,-7.676996249574455,-8.446177837352515,-6.9078146617963965,8
0,52.733337811114666,-7.777225232211723,-8.574930111528793,-6.979520352894654,8
0,53.10469934499575,-7.777133008003283,-8.568152535519415,-6.986113480487152,8
0,53.47606087887684,-7.8616115533062265,-8.6306211917056,-7.092601914906852,8
0,53.84742241275793,-7.923619793590929,-8.667630475812368,-7.1796091113694915,8
0,54.218783946639014,-7.979656228542966,-8.73158324541601,-7.227729211669923,8
0,54.5901454805201,-8.035065568167328,-8.770119836876125,-7.300011299458531,8
0,54.9615070144012,-8.110996202188595,-8.893439258742008,-7.328553145635182,8
0,55.332868548282285,-8.150278558374177,-8.934854921353343,-7.365702195395011,8
0,55.70423008216337,-8.214933600238675,-8.945220508921416,-7.484646691555933,8
0,56.07559161604446,-8.260791671774108,-9.009261905624731,-7.512321437923484,8
0,56.44695314992555,-8.301245886479293,-9.063678040066153,-7.538813732892434,8
0,56.81831468380664,-8.3902041204393,-9.135782460609114,-7.644625780269487,8
0,57.18967621768773,-8.454633393057918,-9.14840055312048,-7.760866232995356,8
0,57.56103775156882,-8.470270795047611,-9.195005896576038,-7.745535693519183,8
0,57.932399285449904,-8.486050984213616,-9.292081492184323,-7.680020476242909,8
0,58.303760819330996,-8.535776471786841,-9.349803422447682,-7.721749521126,8
0,58.67512235321209,-8.564303385081477,-9.376948314680678,-7.751658455482275,8
0,59.046483887093174,-8.622781080984494,-9.460710758453562,-7.784851403515425,8
0,59.41784542097427,-8.674547915359954,-9.516645962234524,-7.832449868485384,8
0,59.78920695485535,-8.780166428004122,-9.64421801920583,-7.9161148368024135,8
0,60.16056848873644,-8.846280961044775,-9.668640883712929,-8.02392103837662,8
0,60.53193002261754,-8.881652442956186,-9.71424427413498,-8.049060611777392,8
0,60.90329155649862,-8.947503676656954,-9.763762112637712,-8.131245240676195,8
0,61.27465309037971,-9.017903078308422,-9.81309085012156,-8.222715306495283,8
0,61.6460146242608,-9.075874570094062,-9.879407599986957,-8.272341540201166,8
0,62.017376158141886,-9.093268423906833,-9.891564454894201,-8.294972392919465,8
0,62.38873769202297,-9.162468068165913,-9.946770338140624,-8.378165798191201,8
0,62.76009922590407,-9.159964581353357,-9.998610419991975,-8.32131874271474,8
0,63.131460759785156,-9.300742863905734,-10.091974965410234,-8.509510762401234,8
0,63.50282229366624,-9.340965780675173,-10.110575705773394,-8.571355855576952,8
0,63.874183827547334,-9.39904144402431,-10.201814132957262,-8.596268755091357,8
0,64.24554536142843,-9.400695306040257,-10.223726741110308,-8.577663870970206,8
0,64.61690689530951,-9.506043667876844,-10.312229548321845,-8.699857787431842,8
0,64.9882684291906,-9.557286577800634,-10.348914635722863,-8.765658519878404,8
0,65.3596299630717,-9.592117677505815,-10.37081306367414,-8.81342229133749,8
0,65.73099149695278,-9.683436945307758,-10.503591893117388,-8.863281997498127,8
0,66.10235303083387,-9.726003637673971,-10.568256857347057,-8.883750418000885,8
0,66.47371456471495,-9.799434295770306,-10.659179681603504,-8.939688909937107,8
