delta,N,density,ci_low,ci_high,seeds
0,2.3125,1.9964725741253182,1.8864670667485266,2.10647808150211,16
0,2.3375000000000004,1.9772603626131873,1.838816247872665,2.1157044773537095,16
0,2.3625,1.911485904978855,1.7581416088811723,2.064830201076538,16
0,2.3875,1.7800189750801658,1.6524421022397815,1.9075958479205501,16
0,2.4125000000000005,1.6313998040126365,1.5347896471787565,1.7280099608465165,16
0,2.4375,1.4925960662682904,1.4146789529937127,1.5705131795428682,16
0,2.4625000000000004,1.3507902457822691,1.2482620379840872,1.453318453580451,16
0,2.4875,1.2070514546325777,1.0975459289968834,1.316556980268272,16
0,2.5125,1.068022047017699,0.9732968279293702,1.162747266106028,16
0,2.5375000000000005,0.9635303057019964,0.8884951439430373,1.0385654674609555,16
0,2.5625,0.8557310655596053,0.8036770744727922,0.9077850566464184,16
0,2.5875000000000004,0.7067762517588471,0.6524742402661251,0.761078263251569,16
0,2.6125,0.5804480654719337,0.5195409430629172,0.6413551878809503,16
0,2.6375,0.5016211383673781,0.44375752524789913,0.5594847514868571,16
0,2.6625000000000005,0.44862208061875786,0.40340239930766886,0.49384176192984686,16
0,2.6875,0.39445302741801147,0.35574280012972864,0.4331632547062943,16
0,2.7125000000000004,0.33522354188864306,0.28384120465551244,0.3866058791217737,16
0,2.7375,0.27543069808294524,0.22933745104512698,0.3215239451207635,16
0,2.7625,0.22713481713448724,0.19191080212117279,0.2623588321478017,16
0,2.7875000000000005,0.18784386245144036,0.16339401646157256,0.21229370844130815,16
0,2.8125,0.15934345956597717,0.13735117267692243,0.18133574645503192,16
0,2.8375000000000004,0.1476441713392286,0.12044176909742141,0.1748465735810358,16
0,2.8625,0.1378992955617698,0.1056114390547906,0.17018715206874901,16
0,2.8875,0.11279333822475461,0.0811415923847232,0.144445084064786,16
0,2.9125000000000005,0.08100550971808713,0.05344556945845427,0.10856544997772,16
0,2.9375,0.063496740830298,0.039124637339306205,0.0878688443212898,16
0,2.9625000000000004,0.06303057393396473,0.042420871516905156,0.0836402763510243,16
0,2.9875,0.06146850769622246,0.04302003599699054,0.07991697939545439,16
0,3.0125,0.0534741710372864,0.03604570998849027,0.07090263208608252,16
0,3.0375000000000005,0.046965458566090225,0.029691466974481245,0.0642394501576992,16
0,3.0625,0.044378120493720995,0.026637585783217656,0.062118655204224334,16
0,3.0875000000000004,0.043004355275203576,0.025082963295783,0.06092574725462416,16
0,3.1125,0.041768114845519705,0.026694820969444845,0.056841408721594565,16
0,3.1375,0.04081736922283162,0.021636850662471903,0.05999788778319134,16
0,3.1625000000000005,0.03965645320971039,0.019851906632954167,0.059460999786466615,16
0,3.1875,0.037111489391725275,0.022112954100962118,0.05211002468248843,16
0,3.2125000000000004,0.03312589856349504,0.01873052145360302,0.04752127567338707,16
0,3.2375,0.03275725310053957,0.012262059130487786,0.053252447070591354,16
0,3.2625,0.030278615026347332,0.014077481346361366,0.0464797487063333,16
0,3.2875000000000005,0.027581019346041374,0.015737094622197786,0.03942494406988496,16
0,3.3125,0.02806430850700993,0.014253601358544114,0.041875015655475745,16
0,3.3375000000000004,0.028686608382426145,0.019365979576143076,0.038007237188709214,16
0,3.3625,0.027437480349766945,0.018102066718774738,0.036772893980759155,16
0,3.3875,0.02095844199492539,0.011653432741647537,0.030263451248203243,16
0,3.4125000000000005,0.015403399314285422,0.007901687344726795,0.02290511128384405,16
0,3.4375,0.014992880808066933,0.004833973143660301,0.025151788472473565,16
0,3.4625000000000004,0.01849222934934414,0.008020270340309464,0.028964188358378815,16
0,3.4875,0.023780226698403288,0.011632282787147185,0.03592817060965939,16
0,3.5125,0.02520194379830966,0.011915375389574255,0.038488512207045064,16
0,3.5375000000000005,0.02347600584549909,0.010949296975884138,0.03600271471511404,16
0,3.5625,0.020694149843794613,0.010636826617062682,0.030751473070526544,16
0,3.5875000000000004,0.01849914172538388,0.008497429278450217,0.028500854172317548,16
0,3.6125,0.018133443504077282,0.008432260103693906,0.02783462690446066,16
0,3.6375,0.021875019077025007,0.01021925142486343,0.033530786729186586,16
0,3.6625000000000005,0.024453176337217043,0.009909653539313838,0.038996699135120244,16
0,3.6875,0.02186806861563215,0.00968696693175677,0.034049170299507533,16
0,3.7125000000000004,0.01984204930019789,0.010000202433818526,0.029683896166577257,16
0,3.7375,0.023304398927175427,0.009653246250033049,0.03695555160431781,16
0,3.7625,0.03073004741801725,0.010531681309744884,0.050928413526289615,16
0,3.7875000000000005,0.030534022906947095,0.01216814362806349,0.0488999021858307,16
0,3.8125,0.022647394545286557,0.010620599186250511,0.034674189904322604,16
0,3.8375000000000004,0.016301314958409807,0.006424587133490676,0.02617804278332894,16
0,3.8625,0.017258354689164247,0.0054733465726315884,0.029043362805696905,16
0,3.8875,0.020184139780696855,0.0046471144669930995,0.03572116509440061,16
0,3.9125000000000005,0.01726381589494759,0.005347092088880304,0.029180539701014876,16
0,3.9375,0.016248047987643958,0.004238112568406425,0.02825798340688149,16
0,3.9625000000000004,0.021426203533929034,0.009469183757322175,0.03338322331053589,16
0,3.9875,0.025570986198879396,0.012277564373523151,0.038864408024235644,16
0,4.0125,0.026977774759759668,0.010872420419341416,0.04308312910017792,16
0,4.0375,0.029424167278110064,0.008532968616703288,0.05031536593951684,16
0,4.0625,0.027328872930209167,0.010726418853028462,0.04393132700738987,16
0,4.0875,0.019889154956767414,0.008087323087061863,0.031690986826472964,16
0,4.112500000000001,0.0133109038160768,0.003485691568567059,0.023136116063586544,16
0,4.1375,0.01387053846509944,0.0036213539348603305,0.02411972299533855,16
0,4.1625,0.019218911474571873,0.006237308714709828,0.032200514234433916,16
0,4.1875,0.023081405233837924,0.008258245444582545,0.037904565023093306,16
0,4.2125,0.020768835660338113,0.0062195761651348755,0.03531809515554135,16
0,4.237500000000001,0.01452343568580144,0.006364539389839342,0.02268233198176354,16
0,4.2625,0.017748529862428065,0.00725793443064527,0.02823912529421086,16
0,4.2875,0.023945112905103375,0.007221602066244136,0.040668623743962615,16
0,4.3125,0.019512340997316347,0.007619227976796447,0.031405454017836246,16
0,4.3375,0.014742467933108967,0.007741984134888984,0.021742951731328952,16
0,4.362500000000001,0.01639365927317239,0.00877501365867515,0.024012304887669627,16
0,4.3875,0.022495084813736063,0.012348932640921883,0.03264123698655024,16
0,4.4125,0.02975072652281242,0.016194046123231852,0.04330740692239299,16
0,4.4375,0.03070615159644914,0.013539615913386982,0.0478726872795113,16
0,4.4625,0.027224119449943032,0.007539171608807044,0.04690906729107902,16
0,4.487500000000001,0.024420292510245176,0.006743908994218086,0.04209667602627226,16
0,4.5125,0.020244963644610686,0.006757411685103505,0.033732515604117864,16
0,4.5375,0.018032543184677962,0.0054656039988173356,0.03059948237053859,16
0,4.5625,0.019666867257116204,0.00616876648250037,0.03316496803173204,16
0,4.5875,0.017258021706471442,0.008644778200694078,0.025871265212248806,16
0,4.612500000000001,0.012867230196124398,0.005404110552601743,0.020330349839647054,16
